date,goal_id,goal_name,completion_status,stress,energy,concentration,mood,readiness,available_minutes,normal_goal_minutes,time_fit,style_adjustment,style_task_multiplier,final_multiplier,has_fun_plan,fun_plan,mode,capacity,burnout_risk,goal_pressure,task,progress_update
2026-05-05 17:15:00,1,Achieve 1500+ on the SAT,Completed,0.46,0.62,0.66,0.78,0.64,30,75,0.4,1.0,1.0,0.35,True,Dinner with family at 7pm,MINIMUM,0.076,0.269,0.319,Complete timed sat questions: 12 questions.,"{""goal_id"": 1, ""goal_name"": ""Achieve 1500+ on the SAT"", ""old_progress"": 0.0, ""new_progress"": 1.0, ""gain"": 1.0}"
2026-05-05 18:15:00,2,Earn A*s in A-Level Mathematics and Physics,Completed,0.373,0.712,0.73,0.78,0.721,60,90,0.667,1.0,1.0,0.35,False,,MINIMUM,0.194,0.206,0.223,Solve past-paper problems: 4 problems.,"{""goal_id"": 2, ""goal_name"": ""Earn A*s in A-Level Mathematics and Physics"", ""old_progress"": 0.0, ""new_progress"": 1.0, ""gain"": 1.0}"
2026-05-06 17:15:00,3,Build and launch a university portfolio app,Completed,0.306,0.783,0.785,0.779,0.784,120,75,1.5,1.0,1.0,1.0,True,Coffee with a friend after class,STEADY,0.59,0.162,0.252,Work on the portfolio app: 75 minutes.,"{""goal_id"": 3, ""goal_name"": ""Build and launch a university portfolio app"", ""old_progress"": 0.0, ""new_progress"": 1.0, ""gain"": 1.0}"
2026-05-06 18:15:00,4,Complete five university application essays,Completed,0.307,0.783,0.785,0.779,0.784,30,60,0.5,1.0,1.0,0.35,False,,MINIMUM,0.197,0.162,0.311,Draft or revise application essays: 175 words.,"{""goal_id"": 4, ""goal_name"": ""Complete five university application essays"", ""old_progress"": 0.0, ""new_progress"": 1.0, ""gain"": 1.0}"
2026-05-07 17:15:00,5,Submit a competitive scholarship application,Completed,0.374,0.712,0.73,0.777,0.721,90,45,1.5,1.0,1.0,1.0,True,Dinner with family at 7pm,STEADY,0.436,0.207,0.329,Research and prepare scholarship materials: 45 minutes.,"{""goal_id"": 5, ""goal_name"": ""Submit a competitive scholarship application"", ""old_progress"": 0.0, ""new_progress"": 1.0, ""gain"": 1.0}"
2026-05-07 18:15:00,1,Achieve 1500+ on the SAT,Skipped,0.535,0.668,0.537,0.777,0.502,90,75,1.2,1.0,1.0,1.2,False,,CATCH-UP,0.147,0.315,0.319,Complete timed sat questions: 42 questions.,
2026-05-08 17:15:00,2,Earn A*s in A-Level Mathematics and Physics,Skipped,0.445,0.763,0.609,0.772,0.586,30,90,0.333,1.0,1.0,1.2,True,Gaming session at 9pm,CATCH-UP,0.067,0.244,0.223,Solve past-paper problems: 14 problems.,
2026-05-08 18:15:00,3,Build and launch a university portfolio app,Skipped,0.42,0.79,0.63,0.772,0.61,60,75,0.8,1.0,1.0,1.2,False,,CATCH-UP,0.182,0.225,0.252,Work on the portfolio app: 90 minutes.,
2026-05-09 17:15:00,4,Complete five university application essays,Skipped,0.459,0.628,0.598,0.766,0.513,120,60,1.5,1.0,1.0,1.2,True,Basketball with friends at 6pm,CATCH-UP,0.21,0.289,0.313,Draft or revise application essays: 600 words.,
2026-05-09 18:15:00,5,Submit a competitive scholarship application,Skipped,0.535,0.548,0.536,0.766,0.442,30,45,0.667,1.0,1.0,1.2,False,,CATCH-UP,0.059,0.35,0.33,Research and prepare scholarship materials: 54 minutes.,
